bids_name	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-11_T1w	0.6060556561085972	1.5481158151148893	0.499	27372.2282	4.098623333333333	4.1114	3.98325	4.20122	0.25613918231791294	0.3857460215926775	0.35811479608940955	0.6742774248123169	0.4351647853851317	0.0	0.00018532866594023865	7.025225667790808	6.918558915227767	7.015526067834922	176	256	256	2.3743891422734493	6.574267035298572	6.390099352305033	10.221641879343082	40.58075702977761	59.01907259705993	58.93675868827742	77.21044643799472	1.0	1.0	1.0	5.2151	0.0	5.4501	0.0	4506288.0	0.0	22.0	7.959	1.2217	144.0797	490.6504	493.0	413471.13833567407	152.0	806.0	207.6321	-0.2735	71.7876	723.4068	717.0	622688.2010516502	551.0	933.0	109.0615	0.2708	62.1507	917.4019	938.0	578084.6610580467	737.0	1038.0	91.766	0.2316158760216336	0.5426213212323021	0.5531271611504446	0.6698843789983036
sub-12_T1w	0.7359622549019608	1.3792420245436927	0.5534	13710.6388	4.411793333333334	4.24348	4.55445	4.43745	0.255394287912614	0.37468837447617426	0.36991733761121176	0.8906394243240356	0.5376604914665222	0.0	0.00011588757898811434	6.935025518829358	6.825417371270489	6.911394865624683	176	256	256	1.9652736538910336	5.920394100114211	6.692850008366492	12.192882271094232	30.00511496263971	50.09842790391305	47.98570819867849	63.85358172948271	1.0	1.0	1.0	119.8449	0.0	6.5565	0.0	3099324.0	0.0	26.0	9.7162	-0.432	161.7517	446.9363	445.0	418474.2673882521	77.0	810.0	226.4313	-0.7505	87.7883	747.7703	743.0	613942.6386132101	547.0	967.0	125.4983	-0.0409	62.348	939.7183	947.0	606125.0943248637	798.0	1057.0	77.6682	0.231767887430669	0.5419723437817484	0.5622491837106455	0.5426238376736012
sub-13_T1w	0.5974741525423729	1.7309513292067966	0.4787	24273.64	4.120163333333333	4.08194	4.08258	4.19597	0.2646518258721975	0.3839415948825799	0.3514065792452226	0.6113070845603943	0.31565122902393344	0.0	0.00015992795467544563	7.780023464174665	7.6880964148265765	7.776340321627428	176	256	256	2.1528424755789657	6.790250173645418	6.747465622929705	11.299304219564728	41.98144172413793	68.0551174137931	66.76869057471265	90.2695125862069	1.0	1.0	1.0	5.1025	0.0	4.8316	0.0	4007604.0	0.0	19.0	6.96	-0.6255	152.9881	451.3927	446.0	387239.0811134777	120.0	777.0	207.1677	-0.6919	77.3097	727.0572	723.0	561784.109796283	556.0	924.0	106.4761	-0.5362	63.6942	937.4254	959.0	514178.809821867	770.0	1046.0	84.8724	0.21689640906936794	0.5481171171194809	0.5670216434671148	0.7825169690929605
sub-14_T1w	0.7428190000000001	1.3151286871977672	0.5056	17593.0129	4.310379999999999	4.15391	4.38776	4.38947	0.26323136640859446	0.37769461637987567	0.35907401721152976	0.8237006664276123	0.472784286737442	0.0	0.00015759991920884583	7.201260434962029	7.067866651000382	7.14853570393487	176	256	256	1.895441928565186	6.136436208765106	6.003738718978201	9.979338019604308	35.217392494811335	61.989367125159525	58.6956541580189	78.88020285408582	1.0	1.0	1.0	76.9819	0.0	5.4025	0.0	4401489.0	0.0	21.0	7.7573	-0.7956	174.5199	424.6563	417.0	416014.0105440365	71.0	779.0	220.0012	-0.6342	78.381	739.3552	734.0	596913.1044861425	548.0	957.0	119.6133	-0.3624	70.1828	915.8691	934.0	567484.8860923956	742.0	1045.0	93.5933	0.21275289499147298	0.5495892590037821	0.5568689967431623	0.6274371797560321
sub-15_T1w	0.6520777777777778	1.330606030773592	0.4974	17719.126	4.533553333333334	4.48554	4.3993	4.71582	0.2744315830871673	0.3704325102535672	0.35513590665926553	0.7448727786540985	0.5634900063276288	0.0	0.00014860181657102808	6.88317626749621	6.742881465372788	6.8203427049829655	176	256	256	1.923114844987526	5.336782634614784	5.489255919985031	9.207870280352784	26.152406104994995	53.422436402511146	49.92054726594486	70.18679929032845	1.0	1.0	1.0	401.6665	0.0	5.7399	0.0	4348031.0	0.0	23.0	8.7928	-0.5121	149.8634	385.9899	351.0	454275.9302813458	139.0	716.0	182.5162	0.0032	74.1778	723.999	717.0	613189.5290945552	504.0	972.0	134.3505	-0.0362	72.5397	912.31	942.0	587868.5410735109	717.0	1042.0	102.3037	0.18942711470362694	0.5348225352732323	0.5474591711946829	0.5643170116421389
sub-16_T1w	0.8920157608695652	0.9337006852807083	0.5782	2390.7626	4.38346	4.2407	4.41822	4.49146	0.2650871441358695	0.36595263206840584	0.36896022379572474	0.9846231341362	0.724706807732582	0.0	0.0009361818964375156	7.044524129524503	6.887077663677858	6.980648122737037	176	256	256	2.3189031112410805	5.19306532920637	5.532641947561409	9.085957402236776	30.174326877493204	49.55407238249407	46.96589790137017	61.16929444412325	1.0	1.0	1.0	257.8062	10.3782	18.6759	7.0	4132690.0	0.0	62.0	67.902	-0.3008	153.0622	493.409	478.0	427133.32485557604	188.0	835.0	206.1317	1.5882	83.397	791.1826	785.0	589657.2803806398	546.0	1046.0	151.163	0.1259	80.7339	962.8013	969.0	594503.3948856851	777.0	1131.0	106.648	0.22539183304706095	0.5326879883504712	0.5390031302396717	0.3503483969568919
sub-17_T1w	0.7284448888888889	1.2464027811068308	0.4854	18320.9324	4.045753333333334	3.97175	3.97858	4.18693	0.27514584096203765	0.36368287926396814	0.3611712797739943	0.7493588328361511	0.34657768011093115	0.0	0.00020588712988548537	7.287073097043921	7.1498212436032125	7.233018513298472	176	256	256	1.8191469681173034	4.806907117203812	5.420663149962951	9.635935364567736	20.62232200799758	43.46274260406467	40.345414858669685	56.95117996394681	1.0	1.0	1.0	3262.389	0.0	5.9994	0.0	4577494.0	0.0	23.0	10.9283	-0.7413	159.3829	372.2042	344.0	430196.8511425802	99.0	714.0	189.0994	0.114	83.5931	726.4209	725.0	568626.5470224305	471.0	991.0	150.8245	-0.4938	80.307	928.0271	950.0	564699.6034490144	744.0	1061.0	98.5892	0.20179185660383842	0.5318329046305874	0.5523069976356069	0.7044718451876512
sub-18_T1w	0.7479160173160173	1.1227133810889218	0.5442	16577.0775	4.554783333333334	4.45427	4.61215	4.59793	0.26526585218659726	0.35514220865893814	0.37959193915446465	0.8784248232841492	0.613987147808075	0.0	0.00034511348048531877	6.331551226896472	6.200836149467178	6.299201457598672	176	256	256	1.9111386581492846	4.098720272094853	5.554944615788315	10.654974917120809	12.639047759928003	25.413634906021453	23.76457237434184	33.24103445707606	1.0	1.0	1.0	3050.9585	0.0	6.5601	0.0	4285434.0	0.0	25.0	19.3342	-0.4476	151.9623	408.034	373.0	475165.6807634287	139.0	759.0	195.1714	1.3014	93.9362	746.1018	750.0	636159.4903913465	417.0	1042.0	182.9838	-0.3426	78.8324	968.7304	981.0	679955.8280640031	800.0	1104.0	92.0696	0.21239092326568565	0.5135128512635715	0.5287011684262178	0.538743247144562
sub-19_T1w	0.7774633879781421	1.2696010419744765	0.4994	12416.3265	4.325993333333334	4.27957	4.32055	4.37786	0.251127048695176	0.3825828944339922	0.3662900568708318	0.8746275007724762	0.563903197646141	0.0	0.0001638382317857977	8.56348030192526	8.433932721747396	8.520327206109018	176	256	256	2.2444903985006652	6.464702332372425	6.230790336008365	9.983178277152003	34.6959624407044	51.227985444148416	50.04543730370178	64.21236402625252	1.0	1.0	1.0	1791.949	0.0	5.9427	0.0	4652875.0	0.0	24.0	9.2334	-0.5012	149.3336	483.041	489.0	333745.3365817256	113.0	827.0	217.8665	-0.7107	76.4468	729.6485	722.0	508448.8410815154	558.0	928.0	111.6833	-0.0955	65.829	895.424	905.0	486795.8228796064	730.0	1031.0	90.6524	0.23104923489783255	0.5492769547024114	0.5513487697740935	0.4687681525431942
sub-20_T1w	0.6900954128440369	1.3895486134598496	0.4996	13580.6393	4.363563333333333	4.29777	4.26504	4.52788	0.268722268437685	0.3762024045151992	0.3550753270471158	0.7496300935745239	0.5875505924224853	0.0	0.00026884392767721624	6.827552511807461	6.704408180901359	6.794801487373401	176	256	256	2.0075455565617335	5.701612945973133	5.800337321208819	9.691853461091593	24.136330037901878	40.92178737840918	39.53264608126375	53.53982082748019	1.0	1.0	1.0	1180.5302	0.0	6.6882	0.0	4447643.0	0.0	26.0	11.3187	-0.6672	156.776	425.6338	417.0	447023.5246794438	93.0	759.0	207.7161	-0.5734	81.1256	714.7221	707.0	625818.3433661514	517.0	942.0	123.9999	-0.2079	69.3152	907.1031	925.0	590673.1330682994	727.0	1040.0	95.4409	0.2099591148410444	0.5395134962176777	0.5486532996406294	0.6157091866449967
